RBT-80 per-season series, conventional population, all nine arms.
Committed so sections 1, 3 and 5 of the report are re-derivable by
someone other than the author (adversary finding 7; RBT-86).
No genomes are shipped: these are aggregate per-season numbers only.

## mean_lifetime_score by season  (section 3: yield = seeded - control)

season A:seeded   A:control  A:drift    B:seeded   B:control  B:drift    C:seeded   C:control  C:drift   
   247     1.1042     0.6401     0.2855     0.8931     0.6562     0.1542     1.0026     0.7040     0.0766
   248     1.1216     0.6093     0.2677     0.8869     0.6604     0.1474     0.9152     0.6930     0.0838
   249     1.1098     0.5914     0.3002     0.8952     0.6899     0.1437     1.1200     0.6558     0.0573
   250     1.1613     0.5824     0.2725     0.8463     0.7514     0.1446     1.0768     0.6387     0.0689
   251     1.1582     0.6372     0.2759     0.9026     0.6855     0.1534     1.0573     0.7383     0.0710
   252     1.1084     0.5839     0.2604     0.8325     0.6828     0.1726     1.0770     0.6912     0.0741
   253     1.1066     0.5616     0.2644     0.9934     0.6596     0.1812     1.0249     0.7156     0.0781
   254     1.0785     0.6069     0.2745     0.9508     0.7231     0.1779     0.9899     0.7187     0.0570
   255     1.1257     0.6528     0.2683     0.9303     0.6762     0.1694     0.9509     0.6956     0.0565
   256     1.1853     0.6219     0.2682     0.8718     0.6743     0.1622     1.0079     0.7127     0.0673
   257     1.1312     0.6211     0.2688     0.8847     0.7076     0.1740     0.8882     0.7223     0.0663
   258     1.0809     0.6069     0.2613     0.9214     0.7349     0.1860     0.9297     0.7096     0.0598
   259     1.0866     0.6360     0.2670     0.8704     0.7160     0.1914     1.0127     0.6965     0.0502
   260     1.1285     0.5790     0.2644     1.0308     0.6926     0.1630     0.9483     0.7335     0.0473
